conversation_id,utterance_id,speaker,utterance,generation_strategy,source,metadata
0,0_0,**Person1,"** Hey Maya, I heard you just started at Northeastern. How's the transition been so far?",inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_1,**Person2,** Hi Arjun! It's been pretty exciting actually. The coursework is intense but the professors are supportive.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_2,**Person1,** That's great to hear. I remember my first semester at Microsoft feels like yesterday.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_3,**Person2,** <Hindi>आपका अनुभव बहुत काम आ रहा है।</Hindi> I'm curious about your journey from academia to industry.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_4,**Person1,** It was definitely a learning curve. The real-world problems are much messier than textbook examples.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_5,**Person2,** That's exactly what I've been noticing in my data science projects. Theory vs practice is quite different.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_6,**Person1,"** Absolutely. Speaking of which, I saw you posted about working on some machine learning models on LinkedIn.",inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_7,**Person2,** Yes! I'm currently exploring recommendation systems for my capstone project. It's fascinating work.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_8,**Person1,** <Hindi>यह एक बहुत दिलचस्प फील्ड है।</Hindi> Recommendation engines have evolved so much in recent years.,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
0,0_9,**Person2,** The scalability challenges are what intrigueues me most. How did you handle performance optimization at Azure?,inter-sentential,LLM,"['minimax/minimax-m2:free', 'Background:\nGenerate a conversation between two people (personas specified below) involving code-switching between English and Hindi. Read both personas below and generate a scenario based on both speakers.\n\n\n    Personas: \n    Person1: Arjun Mehta is a 29-year-old male software engineer at Microsoft on the Azure Storage team, and he speaks English and Hindi.\n    Person2: Maya Rao is a 20-year-old female student at Northeastern University majoring in Computer Science and Data Science, and she speaks English and Hindi.\n    \nPrompt:\nThis conversation should mimic inter-sentential code-switching. Inter-sentential code-switching is the practice of alternating between languages at sentence boundaries, where one complete sentence is spoken in one language and the next sentence is in a different language. Use the examples below as a reference for this conversation.\n\nInter-sentential Example Sentences:\n1. The TA extended the deadline by 24 hours. <Hindi>कृपया आज ही ड्राफ्ट अपलोड कर दें।</Hindi>\n2. <Hindi>मैंने डेटा क्लीन कर दिया है।</Hindi> The visualization notebook is ready for review.\n3. I pushed the hotfix to the staging branch. The tests passed on CI. <Hindi>कल सुबह प्रोडक्शन पर डिप्लॉय करेंगे।</Hindi>\n4. <Hindi>मीटिंग पाँच बजे शुरू होगी।</Hindi> <Hindi>सब लोग समय पर जुड़ें।</Hindi> The Zoom link is in the calendar invite.\n5. I booked the conference room for two hours and shared the agenda with the team. We’ll walk through risks and dependencies first. <Hindi>अगर कुछ जोड़ना हो तो अभी बता दें।</Hindi>\n6. <Hindi>कल का डेमो बहुत अच्छा गया।</Hindi> The client specifically liked the offline mode.\n7. The crawler finished indexing the new sources. I’ve queued the embeddings job for tonight. <Hindi>सुबह तक डैशबोर्ड अपडेट मिल जाएगा।</Hindi>\n8. <Hindi>फीडबैक डॉक्यूमेंट शेयर कर दिया है।</Hindi> Please add comments inline. We’ll consolidate everything by Friday.\n9. I’ll send you the draft proposal by noon. <Hindi>आप बस रेफरेंसेज़ चेक कर लीजिए।</Hindi>\n10. <Hindi>मैंने सभी टिकट्स को प्राथमिकता दे दी है।</Hindi> Let me know if you want any of them reassigned.\n\n\nSpecifications:\nGenerate 10-12 sentences per conversation. Alternate the speakers at every sentence. 25 percent of sentences need to include a code switch (1 out of 4 sentences). Generate ALL Hindi words in Devanagari characters, DO NOT generate Hindi words in romanized English. Generate each sentence in the following form: “<Speaker>: <sentence>.<line-break> ”. Look at the examples of code-switched and non-code-switched sentences below.\n\nExample code-switched sentence: “Person1: Hey there, I hope everything is going well and <Hindi>आप कैसे हैं</Hindi> I heard the midterm on searching algorithms is next week.""\n\nExample non-code-switched sentence: “Person1: Hi Rohan, thanks for joining the call, I wanted to discuss the current status of the feature delivery.”\n\n']"
